user_id,timestamp,ticker,amount,best_model,metric_value,profit
1087877776,2026-01-07 19:01:58,AAPL,10000.0,LSTM,15.986984933760485,0.0
1087877776,2026-01-07 19:07:30,TSLA,1000.0,ARIMA,94.01819215885878,0.0
1087877776,2026-01-07 19:08:23,AAPL,1000.0,LSTM,31.21142373044535,0.0
1087877776,2026-01-07 19:45:54,AAPL,1000.0,31,ARIMA,8.950328536842328,0.0
1087877776,2026-01-07 19:46:41,GOOGL,10000.0,100,ARIMA,4.895448364784602,0.0
1087877776,2026-01-07 19:54:36,AAPL,1000.0,64,ARIMA,8.95031978531086,0.0
1087877776,2026-01-07 20:01:47,AAPL,1000.0,64,ARIMA,8.794536684626271,0.0
1087877776,2026-01-07 20:04:14,AAPL,1000.0,64,Random Forest,11.049098794503632,3.1483822011005484
1087877776,2026-01-07 20:06:46,AAPL,1000.0,64,Random Forest,11.049099255266984,3.1483791221364528
1087877776,2026-01-07 20:11:54,VLO,1000.0,64,ARIMA,6.701353369842089,0.0
1087877776,2026-01-07 20:15:35,AMZN,10000.0,24,Random Forest,8.949624889277693,2.2065321027981555
1087877776,2026-01-07 20:24:49,ABT,10000.0,87,Random Forest,7.619750421417639,-1.3588781609442413
1087877776,2026-01-07 20:33:32,TSLA,100000.0,62,Random Forest,23.378073753908996,1.7534164807820052
